"Ajankohta";"Laskutettava kulutus (kWh)";"Ylijäämätuotanto (kWh)";"Ulkolämpötila (°C)"
"lauantai 17.9.2022 16:00";"0,36";"0,00";"12,90"
"lauantai 17.9.2022 17:00";"1,63";"0,00";"12,50"
"lauantai 17.9.2022 18:00";"0,31";"0,00";"12,40"
"lauantai 17.9.2022 19:00";"0,39";"0,00";"11,00"
"lauantai 17.9.2022 20:00";"0,47";"0,00";"10,50"
"lauantai 17.9.2022 21:00";"0,94";"0,00";"10,20"
"lauantai 17.9.2022 22:00";"0,40";"0,00";"9,80"
"lauantai 17.9.2022 23:00";"0,21";"0,00";"9,50"
"sunnuntai 18.9.2022 00:00";"0,21";"0,00";"9,40"
"sunnuntai 18.9.2022 01:00";"0,21";"0,00";"9,70"
"sunnuntai 18.9.2022 02:00";"0,21";"0,00";"9,70"
